Algorithm,Problem,Exp,obj,Indicator,value
MOEA/D,F5,6,7D,DeltaP,0.992932771254089
MOEA/D,F5,6,10D,DeltaP,1
MOEA/D,F5,6,15D,DeltaP,0.999911478726856
MOEA/D,F5,7,3D,DeltaP,0.00434384311509461
MOEA/D,F5,7,5D,DeltaP,0.986677538652564
MOEA/D,F5,7,7D,DeltaP,0.990645220430154
MOEA/D,F5,7,10D,DeltaP,0.999964263191082
MOEA/D,F5,7,15D,DeltaP,0.999967989422596
MOEA/D,F5,8,3D,DeltaP,0.00340347302228761
MOEA/D,F5,8,5D,DeltaP,0.986587318078902
MOEA/D,F5,8,7D,DeltaP,0.987537565400173
MOEA/D,F5,8,10D,DeltaP,0.999976311313863
MOEA/D,F5,8,15D,DeltaP,0.99997328293365
MOEA/D,F5,9,3D,DeltaP,0.00255143854477535
MOEA/D,F5,9,5D,DeltaP,0.987309625954943
MOEA/D,F5,9,7D,DeltaP,0.993576255201237
MOEA/D,F5,9,10D,DeltaP,0.999959314107733
MOEA/D,F5,9,15D,DeltaP,0.999943634111994
MOEA/D,F5,10,3D,DeltaP,0.00361666279670025
MOEA/D,F5,10,5D,DeltaP,0.991186562306992
MOEA/D,F5,10,7D,DeltaP,0.985519953261278
MOEA/D,F5,10,10D,DeltaP,0.999978442131728
MOEA/D,F5,10,15D,DeltaP,1
MOEA/D,F5,11,3D,DeltaP,0
MOEA/D,F5,11,5D,DeltaP,0.985568045057861
MOEA/D,F5,11,7D,DeltaP,1
MOEA/D,F5,11,10D,DeltaP,0.99998002579042
MOEA/D,F5,11,15D,DeltaP,0.999987706040541
MOEA/D,F5,12,3D,DeltaP,0.000987757975070225
MOEA/D,F5,12,5D,DeltaP,0.985193031454908
MOEA/D,F5,12,7D,DeltaP,0.994743317436875
MOEA/D,F5,12,10D,DeltaP,0.999975447138006
MOEA/D,F5,12,15D,DeltaP,0.999943547162241
MOEA/D,F5,13,3D,DeltaP,0.00278436230830303
MOEA/D,F5,13,5D,DeltaP,0.984231510987736
MOEA/D,F5,13,7D,DeltaP,0.994101655311874
MOEA/D,F5,13,10D,DeltaP,0.999981659296877
MOEA/D,F5,13,15D,DeltaP,0.999962670359901
MOEA/D,F5,14,3D,DeltaP,0.00443025412405318
MOEA/D,F5,14,5D,DeltaP,0.98521865599121
MOEA/D,F5,14,7D,DeltaP,0.986620869936098
MOEA/D,F5,14,10D,DeltaP,0.999964981881261
MOEA/D,F5,14,15D,DeltaP,0.999944141624962
MOEA/D,F5,15,3D,DeltaP,0.000799552631817857
MOEA/D,F5,15,5D,DeltaP,0.984690279446083
MOEA/D,F5,15,7D,DeltaP,0.985649883063423
MOEA/D,F5,15,10D,DeltaP,0.999960809311459
MOEA/D,F5,15,15D,DeltaP,0.999978274804627
MOEA/D,F5,16,3D,DeltaP,0.00367133703779932
MOEA/D,F5,16,5D,DeltaP,0.985775694918938
